plots_cells,plots_size,plots_size_L0,plots_size_L1,plots_size_L2,caseID,caseDir
262144,7.3006443e7,7.1357875e7,633563.0,1.004312e6,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00000
524288,1.46129626e8,1.4271578e8,1.267155e6,2.12535e6,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00010
786432,2.19252805e8,2.14073685e8,1.900747e6,3.246385e6,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00020
1048576,2.92375985e8,2.85431586e8,2.534339e6,4.367422e6,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00030
1310720,3.65499165e8,3.56789487e8,3.167931e6,5.488459e6,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00040
1572864,4.39257949e8,4.28147388e8,3.801524e6,7.244805e6,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00050
1835008,5.1301672e8,4.99505289e8,4.435117e6,9.001147e6,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00060
2097152,5.88028779e8,5.70863194e8,5.556132e6,1.1523442e7,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00070
2359296,6.63958462e8,6.42221099e8,6.677147e6,1.4963015e7,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00080
2621440,7.39888123e8,7.13579004e8,7.798158e6,1.8402574e7,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00090
2883584,8.17497609e8,7.84936911e8,9.55446e6,2.288662e7,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00100
3145728,8.96306961e8,8.56294816e8,1.1310761e7,2.8569915e7,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00110
3407872,9.75116309e8,9.27652721e8,1.3067063e7,3.4253205e7,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00120
3670016,1.056014476e9,9.99010626e8,1.5589307e7,4.1259508e7,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00130
3932160,1.138394413e9,1.070368531e9,1.8111544e7,4.9747008e7,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00140
4194304,1.223292986e9,1.141726436e9,2.155103e7,5.9836033e7,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00150
4456448,1.308191549e9,1.213084341e9,2.4990519e7,6.9925049e7,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00160
4718592,1.394854419e9,1.284442246e9,2.8430007e7,8.1777341e7,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00170
4980736,1.481517289e9,1.355800151e9,3.1869489e7,9.3629641e7,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00180
5242880,1.571104297e9,1.427158056e9,3.6353442e7,1.07362012e8,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00190
5505024,1.662680729e9,1.498515961e9,4.0837399e7,1.23084358e8,case4_cfl3_maxl2,sedov_2d_cyl_in_cart_plt00200
262144,7.564582e7,7.1357875e7,633563.0,1.121009e6,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00000
524288,1.51291876e8,1.4271578e8,1.267155e6,2.242048e6,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00010
786432,2.26937927e8,2.14073685e8,1.900747e6,3.363083e6,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00020
1048576,3.03501673e8,2.8543159e8,2.534339e6,4.484118e6,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00030
1310720,3.80065419e8,3.56789495e8,3.167931e6,5.605153e6,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00040
1572864,4.58308994e8,4.281474e8,3.801524e6,7.361504e6,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00050
1835008,5.37752524e8,4.99505305e8,4.435117e6,9.117855e6,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00060
2097152,6.21254138e8,5.7086321e8,5.556132e6,1.1640159e7,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00070
2359296,7.07274412e8,6.42221115e8,6.677147e6,1.5079727e7,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00080
2621440,7.95059071e8,7.1357902e8,7.798162e6,1.8519296e7,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00090
2883584,8.88392721e8,7.84936927e8,9.554464e6,2.3003336e7,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00100
3145728,9.85084317e8,8.56294832e8,1.1310759e7,2.8686633e7,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00110
3407872,1.084097344e9,9.27652737e8,1.3067054e7,3.4369916e7,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00120
3670016,1.190196724e9,9.99010642e8,1.5589292e7,4.1376196e7,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00130
3932160,1.303371526e9,1.070368547e9,1.811153e7,4.9863691e7,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00140
4194304,1.42203588e9,1.141726452e9,2.155101e7,5.995269e7,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00150
4456448,1.543856956e9,1.213084357e9,2.4990493e7,7.0041697e7,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00160
4718592,1.670691284e9,1.284442262e9,2.8429977e7,8.1893982e7,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00170
4980736,1.800961246e9,1.355800167e9,3.1869445e7,9.3746248e7,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00180
5242880,1.941366925e9,1.427158072e9,3.6353394e7,1.07478595e8,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00190
5505024,2.087621645e9,1.498515977e9,4.0837347e7,1.23200938e8,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00200
262144,7.3006438e7,7.1357875e7,633563.0,1.004312e6,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00000
524288,1.46129613e8,1.4271578e8,1.267155e6,2.125347e6,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00010
786432,2.19252783e8,2.14073685e8,1.900743e6,3.246382e6,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00020
1048576,2.92375955e8,2.8543159e8,2.534331e6,4.367417e6,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00030
